image,class_id,class_name,confidence,status,matched_iou
20220307_191030_jpg.rf.1324fece1d2dc6525ffbddce3a950e0c.jpg,0,cup,0.9646,TP,1.0
20220307_191030_jpg.rf.1324fece1d2dc6525ffbddce3a950e0c.jpg,2,phone,0.7666,TP,1.0
20220307_191030_jpg.rf.1324fece1d2dc6525ffbddce3a950e0c.jpg,0,cup,0.297,FP,0.0
20220307_191240_jpg.rf.75255fd877a20ce84cf2c600f1e78960.jpg,0,cup,0.9942,TP,1.0
20220307_191240_jpg.rf.75255fd877a20ce84cf2c600f1e78960.jpg,2,phone,0.946,TP,1.0
20220307_191240_jpg.rf.75255fd877a20ce84cf2c600f1e78960.jpg,0,cup,0.3874,FP,0.0
20220307_191316_HDR_jpg.rf.0505fe9a0762f5a5ec2b84cc979f0eae.jpg,0,cup,0.984,TP,1.0
20220307_191316_HDR_jpg.rf.0505fe9a0762f5a5ec2b84cc979f0eae.jpg,2,phone,0.9549,TP,1.0
20220307_191330_HDR_jpg.rf.612e7710a77621524c22d41ceb20d199.jpg,2,phone,0.9219,TP,1.0
20220307_191330_HDR_jpg.rf.612e7710a77621524c22d41ceb20d199.jpg,0,cup,0.8111,TP,1.0
20220307_191502_HDR_jpg.rf.c06aacd34baa77f405a2dfe022db85f7.jpg,0,cup,0.9872,TP,1.0
20220307_191502_HDR_jpg.rf.c06aacd34baa77f405a2dfe022db85f7.jpg,2,phone,0.9699,TP,1.0
20220307_191510_jpg.rf.910b7ae0ba530cbd51d186fef4018cd2.jpg,0,cup,0.9573,TP,1.0
20220307_191510_jpg.rf.910b7ae0ba530cbd51d186fef4018cd2.jpg,2,phone,0.9251,TP,1.0
20220307_191510_jpg.rf.910b7ae0ba530cbd51d186fef4018cd2.jpg,0,cup,0.545,TP,1.0
20220307_191511_HDR_jpg.rf.e6eb13b4c91a68175ebd592c33b47718.jpg,2,phone,0.9398,TP,1.0
20220307_191511_HDR_jpg.rf.e6eb13b4c91a68175ebd592c33b47718.jpg,0,cup,0.9168,TP,1.0
20220307_191833-1-_jpg.rf.25d65eeffb5b7434318f95db9ecca1b7.jpg,2,phone,0.917,TP,1.0
20220307_191833-1-_jpg.rf.25d65eeffb5b7434318f95db9ecca1b7.jpg,0,cup,0.8911,TP,1.0
unseen_01_20220307_190919_HDR_jpg.rf.b4d3ee32853f0db2b547be46e69fa576.jpg,0,cup,0.971,TP,1.0
unseen_01_20220307_190919_HDR_jpg.rf.b4d3ee32853f0db2b547be46e69fa576.jpg,2,phone,0.954,TP,1.0
unseen_02_20220307_190939-1-_jpg.rf.52d1223093ad9b9d146fda47a05ea519.jpg,2,phone,0.9676,TP,1.0
unseen_02_20220307_190939-1-_jpg.rf.52d1223093ad9b9d146fda47a05ea519.jpg,0,cup,0.9107,TP,1.0
unseen_02_20220307_190939-1-_jpg.rf.52d1223093ad9b9d146fda47a05ea519.jpg,2,phone,0.452,FP,0.0
unseen_03_20220307_190939_jpg.rf.51567061ac7c6762ab61b38fedad301e.jpg,0,cup,0.9844,TP,1.0
